,nid,infectado,antubicacion,ubicacion,tamanio,carga_viral,carga_viral2,infectado_paso,infecte_a,ultdx,ultdy,color,trayectoria
107,107,True,[1.50420968 6.64204238],[1.10102669 6.42219939],1,349015,0,0.0,0,0.5183781341986776,0.6595289868009725,goldenrod,"[(3.2078612850012105, 11.086666940233389), (2.75579923043242, 10.920817344578724), (2.050000595746012, 6.82422476695055)]"
108,108,True,[10.39441898 18.86203384],[10.46134429 18.75778421],1,337975,0,0.0,0,0.20077594033513435,0.9382466648890103,orchid,"[(11.192385332938745, 21.066214608586918), (12.919773870654947, 18.13264576829599), (10.40007671373682, 18.795054680911896)]"
109,109,True,[21.79268873  0.81696534],[22.04499253  1.16640076],1,190151,0,0.0,0,0.3243905995883193,0.34943541468912576,palegoldenrod,"[(22.31335812199891, 0.34978879907781435), (22.622294271262962, 2.139354310205845), (20.874444476103754, 1.2661758634239462)]"
110,110,True,[19.06989711 21.80799473],[19.04455074 21.85536549],1,326046,0,0.0,0,0.22811738203325205,0.14211230672525854,limegreen,"[(24.833654832961518, 22.981049436604263), (22.774202109046637, 24.087832605219162), (19.98960155197609, 23.700721329124484)]"
111,111,True,[24.84475395 19.26496921],[24.88704206 19.3786177 ],1,312518,0,0.0,0,0.3805929846658277,0.34094547760614835,springgreen,"[(24.560510996160698, 3.1922623883814265), (24.472287506465797, 6.550094087989798), (24.956489669953708, 18.299617320024897)]"
112,112,True,[23.37919725  5.70416249],[23.53115223  5.68881448],1,309368,0,0.0,0,0.45586494245215436,0.046044035626036206,tan,"[(22.67563671994385, 7.917964503302619), (24.47376924077594, 6.909206593069862), (23.03841288891205, 6.103698336456298)]"
113,113,True,[12.33221316  0.13281643],[8.90988065 0.10226234],1,299782,0,0.0,0,0.00544821751110347,0.33388700555525397,lavender,"[(17.45331322618744, 0.326880432658486), (15.92795205985079, 1.7310027218825519), (14.48593713049573, 1.2899608657429615)]"
114,114,True,[7.62226279 9.61078474],[8.33657708 9.88875186],1,420984,0,0.0,0,0.7143142814849678,0.2779671245451304,darkslategrey,"[(8.473759595939706, 9.295239675296894), (6.39150615385794, 9.16591195588914), (8.478118080822249, 10.991300703784406)]"
115,115,True,[ 6.19564701 16.25870832],[ 5.88972806 15.59301777],1,359527,0,0.0,0,0.9177568459163117,0.6656905467388006,violet,"[(8.325945346090283, 18.659969740527366), (9.949276011299755, 17.35665239902772), (8.631982068124996, 18.017198465155154)]"
116,116,True,[20.09485003  7.53496502],[19.78056344  7.69181127],1,502813,0,0.0,0,0.5657158751750754,0.47053873190321993,purple,"[(21.913848769864792, 9.697288974443964), (21.92875072042465, 9.856945836693955), (19.876778434761967, 6.822268135952674)]"
117,117,True,[ 0.91294412 11.79865323],[ 1.29089915 10.91545641],1,281423,0,0.0,0,0.3779550230498413,0.8831968249034022,darkslategray,"[(7.266055407024812, 3.170513024622833), (0.09419860279590508, 2.9872090229997417), (4.843951564472626, 24.50231811714941)]"
118,118,True,[24.8460045   2.22293834],[24.9520656   0.79547351],1,206791,0,0.0,0,0.4253652385167679,0.6877655476471115,slategrey,"[(9.978212625935305, 24.103665008052985), (0.33188706566714943, 20.885862636411446), (24.40251003520669, 4.799522676438161)]"
119,119,True,[ 5.09001908 14.99874368],[ 5.13667257 15.90115993],1,348173,0,0.0,0,0.4198814197194972,0.9024162466204814,sienna,"[(3.2986743416427577, 10.100854356956848), (0.6313032249576047, 11.61435957807318), (3.810855794941614, 13.793002903038198)]"
120,120,True,[17.92166481 19.33012426],[17.38232221 20.09094799],1,435979,0,0.0,0,0.5393426018617236,0.9782019403539497,blueviolet,"[(18.921449585498944, 23.756705142319554), (18.190845292023827, 20.98082496862286), (17.65484401140399, 20.944920740101285)]"
121,121,True,[14.76779131  2.22854001],[14.46793605  1.5641607 ],1,281064,0,0.0,0,0.5397394751507449,0.8542019740532631,lightpink,"[(14.141947905354517, 0.8207228617273714), (13.330277245935584, 0.00518856594984396), (14.463333996642634, 0.888354238475177)]"
122,122,True,[ 1.35998023 18.85160114],[ 1.90616974 18.97173416],1,280820,0,0.0,0,0.5461895081188389,0.36039905336312306,azure,"[(6.086413455408097, 24.928889850411483), (2.099077333599512, 21.879011071642573), (1.8273931935630603, 19.980854588161286)]"
123,123,True,[ 5.63640375 10.31331432],[ 5.69366011 10.55738573],1,371358,0,0.0,0,0.10306145020046242,0.7322142343463178,hotpink,"[(1.0391527038706938, 5.92411833880039), (1.5302734365517083, 8.310103737265976), (4.126999036576112, 9.943599519965275)]"
124,124,True,[7.19041799 1.96771492],[7.20538016 1.9397178 ],1,430136,0,0.0,0,0.13465956505003351,0.05039481204889773,moccasin,"[(7.327080898374957, 5.686867698763727), (7.223788644551961, 4.1645932659590414), (7.297580934219225, 3.4883907057690546)]"
125,125,True,[ 0.78313264 12.9139806 ],[ 0.32693505 12.86447109],1,266871,0,0.0,0,0.45619759541393856,0.04950951821793981,darkkhaki,"[(4.521466159886622, 15.399297088841212), (0.29321237091009333, 14.315120897181302), (2.3665967210028174, 14.481311358649014)]"
126,126,True,[10.77830569  8.04210863],[10.68719614  8.08799046],1,446344,0,0.0,0,0.8199859566696452,0.41293647752272333,palegreen,"[(13.942968880065827, 7.7340156945992895), (14.099827301139163, 7.8553097934610925), (11.2974767377963, 6.325348830094661)]"
127,127,True,[ 6.84167841 10.96244859],[ 6.87557998 10.38374338],1,406165,0,0.0,0,0.3051141220737308,0.578705209200968,darkslateblue,"[(10.922764764193614, 13.009213463762919), (12.47372241920994, 13.329124856962316), (10.838783532816734, 14.27578713639723)]"
128,128,True,[21.62446842 13.89262327],[21.66250515 13.41216591],1,559917,0,0.0,0,0.3423304975022219,0.8648232400944833,seashell,"[(22.624171321543994, 13.893337293331786), (20.84320684748827, 14.045041873750119), (21.436589101055986, 12.999522683383221)]"
129,129,True,[ 0.20520498 10.9856136 ],[ 0.14496775 11.62831813],1,259026,0,0.0,0,0.1807117087345964,0.6427045332441754,purple,"[(3.6931619340378115, 2.0809426651373246), (1.3471401910177612, 0.9854355388179546), (0.27677777967330575, 8.227649185975398)]"
130,130,True,[11.25945462  0.27208482],[10.78587267  0.55345923],1,279411,0,0.0,0,0.8524475244164151,0.28137441154818366,darkgreen,"[(20.147935894409386, 1.1694011061788996), (20.422031240587458, 0.4864534436077169), (19.45698313898799, 1.6197259676140092)]"
131,131,True,[4.37285566 3.50018024],[4.62523138 3.16149625],1,426343,0,0.0,0,0.45427629693731464,0.6096311884290172,darkgray,"[(1.0508174733144258, 9.103318423713127), (4.4984665250932006, 5.80768673397914), (5.326068196782577, 2.964024621191138)]"
132,132,True,[5.26892791 4.70493264],[5.04472225 4.70648755],1,427085,0,0.0,0,0.6726169822960412,0.013994225488570766,lemonchiffon,"[(3.1792019091479684, 9.964062413079132), (3.9154639327015874, 7.62075878764894), (4.257613450596835, 7.735246906796096)]"
133,133,True,[ 0.93874938 14.71427955],[ 0.64035649 14.47086263],1,241430,0,0.0,0,0.3836479916334422,0.7302507484386751,midnightblue,"[(2.484994251995667, 17.981498377307243), (0.3292420212386453, 16.60044221592963), (1.7375111158561383, 14.425111430219662)]"
134,134,True,[ 4.61550599 15.41834244],[ 4.54624244 15.76386428],1,362281,0,0.0,0,0.6233719862203845,0.4442423671831772,aquamarine,"[(9.314597883453438, 13.480146973789703), (9.400225745287475, 13.78132788509645), (8.893467901294068, 15.950946061773475)]"
135,135,True,[ 5.57110309 21.84987738],[ 5.56315328 22.21081182],1,279129,0,0.0,0,0.014309646414907284,0.36093443971968864,darksalmon,"[(0.7872903635619581, 22.95396376140849), (2.6644584755307132, 23.354975380447378), (5.111859771162172, 20.848459022309694)]"
136,136,True,[24.76230408 24.64337555],[24.96297855 24.49101656],1,345933,0,0.0,0,0.6020234199618971,0.19589012520345384,lightblue,"[(24.821625805759638, 15.795989104369466), (24.10557908055092, 12.297353831586909), (22.892704456202765, 24.329702259995255)]"
137,137,True,[10.14179008 22.66117768],[ 9.79285897 22.38608598],1,258613,0,0.0,0,0.34893111092436835,0.27509170418130036,blue,"[(13.908227888109105, 21.468198345977655), (10.843332175238624, 22.79189781000474), (9.956236458383904, 20.57702180172198)]"
138,138,True,[12.56145818  3.39097396],[12.37339144  3.84601548],1,319391,0,0.0,0,0.3385201384352352,0.45504151853560715,white,"[(21.196251227329792, 0.1335894761578338), (14.61476097730685, 0.9606342597166264), (14.379190204312385, 5.264263378306505)]"
139,139,True,[16.59906562  6.24610349],[16.77513116  5.78605092],1,488026,0,0.0,0,0.5281966176460715,0.8280946289427176,lavender,"[(13.98531947353628, 5.284746826486635), (13.596098432798666, 5.534286824408168), (16.75431423972897, 4.855238295213584)]"
140,140,True,[ 8.56309829 22.54174408],[ 8.98700254 23.01437594],1,329429,0,0.0,0,0.4239042464472247,0.850737348848967,navy,"[(19.8975106832285, 24.020017260149558), (22.716874136455655, 22.961684484908613), (8.882323689184576, 24.949275201861205)]"
141,141,True,[0.91120646 1.28892747],[0.97438874 1.41152215],1,252971,0,0.0,0,0.18954681997618006,0.15762173325291184,mediumaquamarine,"[(0.16503705940526886, 3.800756024298585), (2.0532668251258954, 1.611510206550018), (0.674026836948712, 0.6738846112739503)]"
142,142,True,[ 6.78317652 15.07278329],[ 6.94688365 15.14510886],1,382115,0,0.0,0,0.49112138271933814,0.650930132055046,darkorchid,"[(6.398206801451085, 11.212664537779599), (5.565998957867356, 14.072287477409736), (7.020977393276201, 14.836043125168338)]"
143,143,True,[20.14044914  4.43988897],[20.33941998  4.34813018],1,487697,0,0.0,0,0.3581475108061858,0.8258291122998738,forestgreen,"[(14.511513163269752, 10.092380513029324), (15.118944310047583, 6.825924960981416), (18.359792470818412, 7.118497652823461)]"
